"X","BA","BE","GP","TI","SO","CT","CY","CL","SP","HO","Scope","Method","DevelopmentalStage","Study.Focus","Expt.Factors","Conservation.Relevance","Partner","FocalSpp","Focal.Fam","AB","SN","EI","BN","PD","PY","VL","IS","BP","EP","AR","DI","D2","EA","UT","PM","OA","HC","HP","DA","Expt.Factors.Stress","NumStress","Interaction","NumStressInt"
"Rosic, NN; Leggat, W; Kaniewska, P; Dove, S; Hoegh-Guldberg, O",NA,NA,NA,"New-old hemoglobin-like proteins of symbiotic dinoflagellates","ECOLOGY AND EVOLUTION","","","","","","single organism","qRT-PCR",NA,"comparative transcriptomics;short term stress","species;temperature;nutrients","biomarker","Symbiodiniaceae","Cladocopium;Breviolum;Symbiodinium",NA,"Symbiotic dinoflagellates are unicellular photosynthetic algae that live in mutualistic symbioses with many marine organisms. Within the transcriptome of coral endosymbionts Symbiodinium sp. (type C3), we discovered the sequences of two novel and highly polymorphic hemoglobin-like genes and proposed their 3D protein structures. At the protein level, four isoforms shared between 87 and 97% sequence identity for Hb-1 and 7899% for Hb-2, whereas between Hb-1 and Hb-2 proteins, only 1521% sequence homology has been preserved. Phylogenetic analyses of the dinoflagellate encoding Hb sequences have revealed a separate evolutionary origin of the discovered globin genes and indicated the possibility of horizontal gene transfer. Transcriptional regulation of the Hb-like genes was studied in the reef-building coral Acropora aspera exposed to elevated temperatures (67 degrees C above average sea temperature) over a 24-h period and a 72-h period, as well as to nutrient stress. Exposure to elevated temperatures resulted in an increased Hb-1 gene expression of 31% after 72h only, whereas transcript abundance of the Hb-2 gene was enhanced by up to 59% by both 1-day and 3-day thermal stress conditions. Nutrient stress also increased gene expression of Hb-2 gene by 70%. Our findings describe the differential expression patterns of two novel Hb genes from symbiotic dinoflagellates and their polymorphic nature. Furthermore, the inducible nature of Hb-2 gene by both thermal and nutrient stressors indicates a prospective role of this form of hemoglobin in the initial coralalgal responses to changes in environmental conditions. This novel hemoglobin has potential use as a stress biomarker.","2045-7758","",NA,"APR",2013,3,"4",822,"834","","10.1002/ece3.498",NA,"","WOS:000317599300007",23610627,NA,NA,NA,NA,"temperature;nutrients",2,"none",2
"Chakravarti, LJ; Buerger, P; Levin, RA; van Oppen, MJH",NA,NA,NA,"Gene regulation underpinning increased thermal tolerance in a laboratory-evolved coral photosymbiont","MOLECULAR ECOLOGY","","","","","","single organism","shotgun RNAseq",NA,"long term stress","strain;temperature","reef restoration technology","Symbiodiniaceae","Cladocopium goreaui",NA,"Small increases in ocean temperature can disrupt the obligate symbiosis between corals and dinoflagellate microalgae, resulting in coral bleaching. Little is known about the genes that drive the physiological and bleaching response of algal symbionts to elevated temperature. Moreover, many studies to-date have compared highly divergent strains, making it challenging to accredit specific genes to contrasting traits. Here, we compare transcriptional responses at ambient (27 degrees C) and bleaching-relevant (31 degrees C) temperatures in a monoclonal, wild-type (WT) strain of Symbiodiniaceae to those of a selected-strain (SS), derived from the same monoclonal culture and experimentally evolved to elevated temperature over 80 generations (2.5 years). Thousands of genes were differentially expressed at a log fold-change of >8 between the WT and SS over a 35 days temperature treatment period. At 31 degrees C, WT cells exhibited a temporally unstable transcriptomic response upregulating genes involved in the universal stress response such as molecular chaperoning, protein repair, protein degradation and DNA repair. Comparatively, SS cells exhibited a temporally stable transcriptomic response and downregulated many stress response genes that were upregulated by the WT. Among the most highly upregulated genes in the SS at 31 degrees C were algal transcription factors and a gene probably of bacterial origin that encodes a type II secretion system protein, suggesting interactions with bacteria may contribute to the increased thermal tolerance of the SS. Genes and functional pathways conferring thermal tolerance in the SS could be targeted in future genetic engineering experiments designed to develop thermally resilient algal symbionts for use in coral restoration and conservation.","0962-1083","1365-294X",NA,"MAY",2020,29,"9",1684,"1703","","10.1111/mec.15432",NA,"May-20","WOS:000535014200001",32268445,NA,NA,NA,NA,"temperature",1,"none",1
"Mayfield, AB; Hsiao, YY; Chen, HK; Chen, CS",NA,NA,NA,"Rubisco Expression in the Dinoflagellate Symbiodinium sp Is Influenced by Both Photoperiod and Endosymbiotic Lifestyle","MARINE BIOTECHNOLOGY","","","","","","single organism","qRT-PCR",NA,"symbiosis","symbiotic state",NA,"Symbiodiniaceae",NA,NA,"Although the importance of anthozoan-dinoflagellate (genus Symbiodinium) endosymbioses in the establishment of coral reef ecosystems is evident, little is known about the molecular regulation of photosynthesis in the intra-gastrodermal symbiont communities, particularly with respect to the rate-limiting Calvin cycle enzyme ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco). In this study, we analyzed rubisco mRNA (rbcL) and protein (RBCL) concentrations over the diel cycle in both cultured and endosymbiotic Symbiodinium samples. In the former, rbcL expression increased upon illumination and decreased during the dark, a pattern that was upheld under continual dark incubation. A different trend in rbcL expression was observed in endosymbiotic Symbiodinium residing within sea anemone (Aiptasia pulchella) tissues, in which illumination gradually led to decreased rbcL mRNA expression. Unexpectedly, RBCL protein expression did not vary over time within anemone tissues, and in neither cultured nor endosymbiotic samples was a correlation between gene and protein expression documented. It appears, then, that photoperiod, lifestyle, and posttranscriptional regulation are all important drivers of RBCL expression in this ecologically important dinoflagellate.","1436-2228","1436-2236",NA,"AUG",2014,16,"4",371,"384","","10.1007/s10126-014-9558-z",NA,"","WOS:000337795400001",24449387,NA,NA,NA,NA,NA,NA,"none",NA
"Maor-Landaw, K; van Oppen, MJH; McFadden, GI",NA,NA,NA,"Symbiotic lifestyle triggers drastic changes in the gene expression of the algal endosymbiont Breviolum minutum (Symbiodiniaceae)","ECOLOGY AND EVOLUTION","","","","","","single organism","shotgun RNAseq",NA,"symbiosis","symbiotic state",NA,"Symbiodiniaceae","Breviolum",NA,"Coral-dinoflagellate symbiosis underpins the evolutionary success of corals reefs. Successful exchange of molecules between the cnidarian host and the Symbiodiniaceae algae enables the mutualistic partnership. The algae translocate photosynthate to their host in exchange for nutrients and shelter. The photosynthate must traverse multiple membranes, most likely facilitated by transporters. Here, we compared gene expression profiles of cultured, free-living Breviolum minutum with those of the homologous symbionts freshly isolated from the sea anemone Exaiptasia diaphana, a widely used model for coral hosts. Additionally, we assessed expression levels of a list of candidate host transporters of interest in anemones with and without symbionts. Our transcriptome analyses highlight the distinctive nature of the two algal life stages, with many gene expression level changes correlating to the different morphologies, cell cycles, and metabolisms adopted in hospite versus free-living. Morphogenesis-related genes that likely underpin the metamorphosis process observed when symbionts enter a host cell were up-regulated. Conversely, many down-regulated genes appear to be indicative of the protective and confined nature of the symbiosome. Our results emphasize the significance of transmembrane transport to the symbiosis, and in particular of ammonium and sugar transport. Further, we pinpoint and characterize candidate transporters-predicted to be localized variously to the algal plasma membrane, the host plasma membrane, and the symbiosome membrane-that likely serve pivotal roles in the interchange of material during symbiosis. Our study provides new insights that expand our understanding of the molecular exchanges that underpin the cnidarian-algal symbiotic relationship.","2045-7758","",NA,"JAN",2020,10,"1",451,"466","","10.1002/ece3.5910",NA,"Dec-19","WOS:000502246300001",31993121,NA,NA,NA,NA,NA,NA,"none",NA
"Bellantuono, AJ; Dougan, KE; Granados-Cifuentes, C; Rodriguez-Lanetty, M",NA,NA,NA,"Free-living and symbiotic lifestyles of a thermotolerant coral endosymbiont display profoundly distinct transcriptomes under both stable and heat stress conditions","MOLECULAR ECOLOGY","","","","","","single organism","shotgun RNAseq",NA,"symbiosis;short term stress","symbiotic state;temperature",NA,"Symbiodiniaceae","Durusdinium",NA,"Reef-building corals depend upon a nutritional endosymbiosis with photosynthetic dinoflagellates of the family Symbiodiniaceae for the majority of their energetic needs. While this mutualistic relationship is impacted by numerous stressors, warming oceans are a predominant threat to coral reefs, placing the future of the world's reefs in peril. Some Symbiodiniaceae species exhibit tolerance to thermal stress, but the in hospite symbiont response to thermal stress is underexplored. To describe the underpinnings of symbiosis and heat stress response, we compared in hospite and free-living transcriptomes of Durusdinium trenchii, a pan-tropical heat-tolerant Symbiodiniaceae species, under stable temperature conditions and acute hyperthermal stress. We discovered that symbiotic state was a larger driver of the transcriptional landscape than heat stress. The majority of differentially expressed transcripts between in hospite and free-living cells were downregulated, suggesting the in hospite condition is associated with the shutdown of numerous processes uniquely required for a free-living lifestyle. In the free-living state, we identified enrichment for numerous cell signalling pathways and other functions related to detecting and responding to a changing environment, as well as transcripts relating to mitosis, meiosis, and motility. In contrast, in hospite cells exhibited enhanced transcriptional activity for photosynthesis and carbohydrate transport as well as chromatin modifications and a disrupted circadian clock. Hyperthermal stress induced drastic alteration of transcriptional activity in hospite, suggesting symbiotic engagement with the host elicited an exacerbated stress response when compared to free-living D. trenchii. Altogether, the dramatic differences in gene expression between in hospite and free-living D. trenchii indicate the importance of considering symbiotic state in investigations of symbiosis and hyperthermal stress in Symbiodiniaceae.","0962-1083","1365-294X",NA,"DEC",2019,28,"24",5265,"5281","","10.1111/mec.15300",NA,"Dec-19","WOS:000500041000001",31693775,NA,NA,NA,NA,"temperature",1,"none",1
"Poquita-Du, RC; Huang, D; Chou, LM; Todd, PA",NA,NA,NA,"The contribution of stress-tolerant endosymbiotic dinoflagellate Durusdinium to Pocillopora acuta survival in a highly urbanized reef system","CORAL REEFS","","","","","","single organism","shotgun RNAseq",NA,"short term stress","temperature;sediment;temp x sediment",NA,"Symbiodiniaceae","Durusdinium",NA,"Urban coral reefs are regarded as marginal communities that live under localized conditions considered detrimental for coral survival, such as high sediment load. They are also impacted by global environmental changes, especially increases in sea surface temperatures. These conditions can cause sub-optimal performance and may lead to dissociation of the mutualistic symbiosis between the coral host and its endosymbionts (Symbiodiniaceae), which provide the majority of the coral's daily energy budget. While recent studies have explored gene transcriptional responses to extreme conditions using cultured cells of Symbiodiniaceae, it is generally unknown how their responses manifest in hospite. Here, we investigate differential gene expression of endosymbionts hosted by the common reef-building coral Pocillopora acuta, following separate and combined exposures to two major environmental stressors: heat and sediment. We report that Durusdinium largely dominate the Symbiodiniaceae population in P. acuta, which suggests that the observed differential gene expression patterns are mainly responses from this known stress-tolerant endosymbiont genus. Differentially expressed genes were detected in response to heat, and to combined heat and sediment. These genes are associated with various biological processes including apoptosis, cell proliferation, cell-extracellular matrix adhesion, DNA damage repair, lipid catabolism, and lipid homeostasis. Our study provides valuable insights regarding the role of gene regulation by the endosymbiotic dinoflagellates to help maintain health and function of the coral host, which ultimately contributes to the persistence of P. acuta in Singapore's highly urbanized reefs.","0722-4028","1432-0975",NA,"JUN",2020,39,"3",745,"755","","10.1007/s00338-020-01902-0",NA,"Feb-20","WOS:000516152100002",NA,NA,NA,NA,NA,"temperature;sediment;temp x sediment",3,"interaction",2
"Rosic, NN; Pernice, M; Rodriguez-Lanetty, M; Hoegh-Guldberg, O",NA,NA,NA,"Validation of Housekeeping Genes for Gene Expression Studies in Symbiodinium Exposed to Thermal and Light Stress","MARINE BIOTECHNOLOGY","","","","","","single organism","qRT-PCR",NA,"short term stress","temperature;UVR;temp x UVR",NA,"Symbiodiniaceae","Cladocopium;Breviolum;Symbiodinium",NA,"Unicellular photosynthetic algae (dinoflagellate) from the genus Symbiodinium live in mutualistic symbiosis with reef-building corals. Cultured Symbiodinium sp. (clade C) were exposed to a range of environmental stresses that included elevated temperatures (29A degrees C and 32A degrees C) under high (100 mu mol quanta m(-2) s(-1) Photosynthetic Active Radiation) and low (10 mu mol quanta m(-2) s(-1)) irradiances. Using real-time RT-PCR the stability of expression for the nine selected putative housekeeping genes (HKGs) was tested. The most stable expression pattern was identified for cyclophilin and S-adenosyl methionine synthetase (SAM) followed by S4 ribosomal protein (Rp-S4), Calmodulin (Cal), and Cytochrome oxidase subunit 1 (Cox), respectively. Thermal stress alone resulted in the highest expression stability for Rp-S4 and SAM, with a minimum of two reference genes required for data normalization. For Symbiodinium exposed to both, light and thermal stresses, at least five reference genes were recommended by geNorm analysis. In parallel, the expression of Hsp90 for Symbiodinium in culture and in symbiosis within coral host (Acropora millepora) was evaluated using the most stable HKGs. Our results revealed a drop in Hsp90 expression after an 18 h-period and a 24 h-period of exposure to elevated temperatures indicating the similar Hsp90 expression profile in symbiotic and non-symbiotic environments. This study provides the first list of the HKGs and will provide a useful reference in future gene expression studies in symbiotic dinoflagellates.","1436-2228","1436-2236",NA,"JUN",2011,13,"3",355,"365","","10.1007/s10126-010-9308-9",NA,"","WOS:000291168500002",20668900,NA,NA,NA,NA,"temperature;UVR;temp x UVR",3,"interaction",2
"Krueger, T; Fisher, PL; Becker, S; Pontasch, S; Dove, S; Hoegh-Guldberg, O; Leggat, W; Davy, SK",NA,NA,NA,"Transcriptomic characterization of the enzymatic antioxidants FeSOD, MnSOD, APX and KatG in the dinoflagellate genus Symbiodinium","BMC EVOLUTIONARY BIOLOGY","","","","","","single organism","qRT-PCR",NA,"short term stress","temperature",NA,"Symbiodiniaceae","Breviolum",NA,"Background: The diversity of the symbiotic dinoflagellate Symbiodinium sp., as assessed by genetic markers, is well established. To what extent this diversity is reflected on the amino acid level of functional genes such as enzymatic antioxidants that play an important role in thermal stress tolerance of the coral-Symbiodinium symbiosis is, however, unknown. Here we present a predicted structural analysis and phylogenetic characterization of the enzymatic antioxidant repertoire of the genus Symbiodinium. We also report gene expression and enzymatic activity under short-term thermal stress in Symbiodinium of the B1 genotype. Results: Based on eight different ITS2 types, covering six clades, multiple protein isoforms for three of the four investigated antioxidants (ascorbate peroxidase [APX], catalase peroxidase [KatG], manganese superoxide dismutase [MnSOD]) are present in the genus Symbiodinium. Amino acid sequences of both SOD metalloforms (Fe/Mn), as well as KatG, exhibited a number of prokaryotic characteristics that were also supported by the protein phylogeny. In contrast to the bacterial form, KatG in Symbiodinium is characterized by extended functionally important loops and a shortened C-terminal domain. Intercladal sequence variations were found to be much higher in both peroxidases, compared to SODs. For APX, these variable residues involve binding sites for substrates and cofactors, and might therefore differentially affect the catalytic properties of this enzyme between clades. While expression of antioxidant genes was successfully measured in Symbiodinium B1, it was not possible to assess the link between gene expression and protein activity due to high variability in expression between replicates, and little response in their enzymatic activity over the three-day experimental period. Conclusions: The genus Symbiodinium has a diverse enzymatic antioxidant repertoire that has similarities to prokaryotes, potentially as a result of horizontal gene transfer or events of secondary endosymbiosis. Different degrees of sequence evolution between SODs and peroxidases might be the result of potential selective pressure on the conserved molecular function of SODs as the first line of defence. In contrast, genetic redundancy of hydrogen peroxide scavenging enzymes might permit the observed variations in peroxidase sequences. Our data and successful measurement of antioxidant gene expression in Symbiodinium will serve as basis for further studies of coral health.","1471-2148","",NA,"18-Mar",2015,15,"",NA,"","48","10.1186/s12862-015-0326-0",NA,"","WOS:000353676900001",25887897,NA,NA,NA,NA,"temperature",1,"none",1
"Rosic, NN; Pernice, M; Dove, S; Dunn, S; Hoegh-Guldberg, O",NA,NA,NA,"Gene expression profiles of cytosolic heat shock proteins Hsp70 and Hsp90 from symbiotic dinoflagellates in response to thermal stress: possible implications for coral bleaching","CELL STRESS & CHAPERONES","","","","","","single organism","qRT-PCR",NA,"short term stress","temperature",NA,"Symbiodiniaceae","Cladocopium",NA,"Unicellular photosynthetic dinoflagellates of the genus Symbiodinium are the most common endosymbionts of reef-building scleractinian corals, living in a symbiotic partnership known to be highly susceptible to environmental changes such as hyperthermic stress. In this study, we identified members of two major heat shock proteins (HSPs) families, Hsp70 and Hsp90, in Symbiodinium sp. (clade C) with full-length sequences that showed the highest similarity and evolutionary relationship with other known HSPs from dinoflagellate protists. Regulation of HSPs gene expression was examined in samples of the scleractinian coral Acropora millepora subjected to elevated temperatures progressively over 18 h (fast) and 120 h (gradual thermal stress). Moderate to severe heat stress at 26A degrees C and 29A degrees C (+3A degrees C and +6A degrees C above average sea temperature) resulted in an increase in algal Hsp70 gene expression from 39% to 57%, while extreme heat stress (+9A degrees C) reduced Hsp70 transcript abundance by 60% (after 18 h) and 70% (after 120 h). Elevated temperatures decreased an Hsp90 expression under both rapid and gradual heat stress scenarios. Comparable Hsp70 and Hsp90 gene expression patterns were observed in Symbiodinium cultures and in hospite, indicating their independent regulation from the host. Differential gene expression profiles observed for Hsp70 and Hsp90 suggests diverse roles of these molecular chaperones during heat stress response. Reduced expression of the Hsp90 gene under heat stress can indicate a reduced role in inhibiting the heat shock transcription factor which may lead to activation of heat-inducible genes and heat acclimation.","1355-8145","",NA,"JAN",2011,16,"1",69,"80","","10.1007/s12192-010-0222-x",NA,"","WOS:000284890700007",20821176,NA,NA,NA,NA,"temperature",1,"none",1
"Gierz, SL; Foret, S; Leggat, W",NA,NA,NA,"Transcriptomic Analysis of Thermally Stressed Symbiodinium Reveals Differential Expression of Stress and Metabolism Genes","FRONTIERS IN PLANT SCIENCE","","","","","","single organism","shotgun RNAseq",NA,"moderate term stress","temperature",NA,"Symbiodiniaceae","Fugacium",NA,"Endosymbioses between dinoflagellate algae (Symbiodinium sp.) and scleractinian coral species form the foundation of coral reef ecosystems. The coral symbiosis is highly susceptible to elevated temperatures, resulting in coral bleaching, where the algal symbiont is released from host cells. This experiment aimed to determine the transcriptional changes in cultured Symbiodinium, to better understand the response of cellular mechanisms under future temperature conditions. Cultures were exposed to elevated temperatures (average 31 degrees C) or control conditions (24.5 degrees C) for a period of 28 days. Whole transcriptome sequencing of Symbiodinium cells on days 4, 19, and 28 were used to identify differentially expressed genes under thermal stress. A large number of genes representing 37.01% of the transcriptome (similar to 23,654 unique genes, FDR < 0.05) with differential expression were detected at no less than one of the time points. Consistent with previous studies of Symbiodinium gene expression, fold changes across the transcriptome were low, with 92.49% differentially expressed genes at <= 2-fold change. The transcriptional response included differential expression of genes encoding stress response components such as the antioxidant network and molecular chaperones, cellular components such as core photosynthesis machinery, integral light-harvesting protein complexes and enzymes such as fatty acid desaturases. Differential expression of genes encoding glyoxylate cycle enzymes were also found, representing the first report of this in Symbiodinium. As photosynthate transfer from Symbiodinium to coral hosts provides up to 90% of a coral's daily energy requirements, the implications of altered metabolic processes from exposure to thermal stress found in this study on coral-Symbiodinium associations are unknown and should be considered when assessing the stability of the symbiotic relationship under future climate conditions.","1664-462X","",NA,"28-Feb",2017,8,"",NA,"","271","10.3389/fpls.2017.00271",NA,"","WOS:000394893200002",28293249,NA,NA,NA,NA,"temperature",1,"none",1
"Chen, JE; Cui, GX; Wang, X; Liew, YJ; Aranda, M",NA,NA,NA,"Recent expansion of heat-activated retrotransposons in the coral symbiont Symbiodinium microadriaticum","ISME JOURNAL","","","","","","single organism","qRT-PCR",NA,"short term stress","temperature",NA,"Symbiodiniaceae","Symbiodiniummicroadriaticum",NA,"Rising sea surface temperature is the main cause of global coral reef decline. Abnormally high temperatures trigger the breakdown of the symbiotic association between corals and their photosynthetic symbionts in the genus Symbiodinium. Higher genetic variation resulting from shorter generation times has previously been proposed to provide increased adaptability to Symbiodinium compared to the host. Retrotransposition is a significant source of genetic variation in eukaryotes and some transposable elements are specifically expressed under adverse environmental conditions. We present transcriptomic and phylogenetic evidence for the existence of heat stress-activated Ty1-copia-type LTR retrotransposons in the coral symbiont Symbiodinium microadriaticum. Genome-wide analyses of emergence patterns of these elements further indicate recent expansion events in the genome of S. microadriaticum. Our findings suggest that acute temperature increases can activate specific retrotransposons in the Symbiodinium genome with potential impacts on the rate of retrotransposition and the generation of genetic variation under heat stress.","1751-7362","1751-7370",NA,"FEB",2018,12,"2",639,"643","","10.1038/ismej.2017.179",NA,"","WOS:000422779100030",29053149,NA,NA,NA,NA,"temperature",1,"none",1
"Barshis, DJ; Ladner, JT; Oliver, TA; Palumbi, SR",NA,NA,NA,"Lineage-Specific Transcriptional Profiles of Symbiodinium spp. Unaltered by Heat Stress in a Coral Host","MOLECULAR BIOLOGY AND EVOLUTION","","","","","","single organism","shotgun RNAseq",NA,"short term stress;comparative transcriptomics","temperature;field sites;species",NA,"Symbiodiniaceae","Cladocopium;Durusdinium",NA,"Dinoflagellates of the genus Symbiodinium form an endosymbiosis with reef building corals, in which photosynthetically derived nutrients comprise the majority of the coral energy budget. An extraordinary amount of functional and genetic diversity is contained within the coral-associated Symbiodinium, with some phylotypes (i.e., genotypic groupings), conferring enhanced stress tolerance to host corals. Recent advances in DNA sequencing technologies have enabled transcriptome-wide profiling of the stress response of the cnidarian coral host; however, a comprehensive understanding of the molecular response to stress of coral-associated Symbiodinium, as well as differences among physiologically susceptible and tolerant types, remains largely unexplored. Here, we examine the transcriptome-wide response to heat stress via RNA-Seq of two types of Symbiodinium, the putatively thermotolerant type D2 and the more susceptible type C3K, resident within the same coral host species, Acropora hyacinthus. Contrary to previous findings with coral hosts, we find no detectable change in gene expression across the dinoflagellate transcriptome after 3 days of elevated thermal exposure, despite physical evidence of symbiosis breakdown. However, hundreds of genes identified as orthologs between the C and D types exhibited significant expression differences within treatments (i.e., attributable solely to type, not heat exposure). These include many genes related to known thermotolerance mechanisms including heat shock proteins and chloroplast membrane components. Additionally, both the between-treatment similarities and between-type differences remained pervasive after 12-18 months of common garden acclimation and in mixed Symbiodinium assemblages within the same coral host colony.","0737-4038","1537-1719",NA,"JUN",2014,31,"6",1343,"1352","","10.1093/molbev/msu107",NA,"","WOS:000337067400003",24651035,NA,NA,NA,NA,"temperature",1,"none",1
"Liew, YJ; Li, Y; Baumgarten, S; Voolstra, CR; Aranda, M",NA,NA,NA,"Condition-specific RNA editing in the coral symbiont Symbiodinium microadriaticum","PLOS GENETICS","","","","","","single organism","shotgun RNAseq",NA,"short term stress","temperature;light:dark",NA,"Symbiodiniaceae","Symbiodinium",NA,"RNA editing is a rare post-transcriptional event that provides cells with an additional level of gene expression regulation. It has been implicated in various processes including adaptation, viral defence and RNA interference; however, its potential role as a mechanism in acclimatization has just recently been recognised. Here, we show that RNA editing occurs in 1.6% of all nuclear-encoded genes of Symbiodinium microadriaticum, a dinoflagellate symbiont of reef-building corals. All base-substitution edit types were present, and statistically significant motifs were associated with three edit types. Strikingly, a subset of genes exhibited condition-specific editing patterns in response to different stressors that resulted in significant increases of non-synonymous changes. We posit that this previously unrecognised mechanism extends this organism's capability to respond to stress beyond what is encoded by the genome. This in turn may provide further acclimatization capacity to these organisms, and by extension, their coral hosts.","1553-7404","",NA,"FEB",2017,13,"2",NA,"","e1006619","10.1371/journal.pgen.1006619",NA,"","WOS:000396403100013",28245292,NA,NA,NA,NA,"temperature",1,"none",1
"Lin, SJ; Yu, LY; Zhang, H",NA,NA,NA,"Transcriptomic Responses to Thermal Stress and Varied Phosphorus Conditions in Fugacium kawagutii","MICROORGANISMS","","","","","","single organism","shotgun RNAseq",NA,"short term stress","temperature;nutrients","biomarker","Symbiodiniaceae","Fugacium",NA,"Coral reef-associated Symbiodiniaceae live in tropical and oligotrophic environments and are prone to heat and nutrient stress. How their metabolic pathways respond to pulses of warming and phosphorus (P) depletion is underexplored. Here, we conducted RNA-seq analysis to investigate transcriptomic responses to thermal stress, phosphate deprivation, and organic phosphorus (OP) replacement in Fugacium kawagutii. Using dual-algorithm (edgeR and NOIseq) to remedy the problem of no replicates, we conservatively found 357 differentially expressed genes (DEGs) under heat stress, potentially regulating cell wall modulation and the transport of iron, oxygen, and major nutrients. About 396 DEGs were detected under P deprivation and 671 under OP utilization, both mostly up-regulated and potentially involved in photosystem and defensome, despite different KEGG pathway enrichments. Additionally, we identified 221 genes that showed relatively stable expression levels across all conditions (likely core genes), mostly catalytic and binding proteins. This study reveals a wide range of, and in many cases previously unrecognized, molecular mechanisms in F. kawagutii to cope with heat stress and phosphorus-deficiency stress. Their quantitative expression dynamics, however, requires further verification with triplicated experiments, and the data reported here only provide clues for generating testable hypotheses about molecular mechanisms underpinning responses and adaptation in F. kawagutii to temperature and nutrient stresses.","","2076-2607",NA,"APR",2019,7,"4",NA,"","96","10.3390/microorganisms7040096",NA,"","WOS:000467288300004",30987028,NA,NA,NA,NA,"temperature;nutrients",2,"none",2
"Zhou, Z; Zhang, KD; Wang, LG; Su, YL; Wang, JR; Song, TT; Yang, XH; Tang, J; Lin, SJ",NA,NA,NA,"Nitrogen availability improves the physiological resilience of coral endosymbiont Cladocopium goreaui to high temperature","JOURNAL OF PHYCOLOGY","","","","","","single organism","shotgun RNAseq",NA,"short term stress","temperature;nutrients;temp x nutrient",NA,"Symbiodiniaceae","Cladocopium goreaui",NA,"The physiological response of symbiotic Symbiodiniaceae to high temperature is believed to result in coral bleaching. However, the potential effect of nitrogen availability on heat acclimatization of symbiotic Symbiodiniaceae is still unclear. In this study, physiological responses of Symbiodiniaceae Cladocopium goreaui to temperature and nitrogen nutrient stress conditions were investigated. Nitrogen deficiency caused significant declines in cell concentration and chlorophyll content per cell, but significant increases in nitric oxide synthase activity, caspase3 activation level, and cellular carbon content of C. goreaui at normal temperature. Algal cells under high temperature and nitrogen deficiency showed significant rises in Fv/Fm, catalase activity, and caspase3 activation level, but no significant changes in cell yield, cell size, chlorophyll content, superoxide dismutase, nitric oxide synthase activity, and cellular contents of nitrogen and carbon, in comparison with those under normal temperature and nitrogen deficiency. Growth, chlorophyll, and nitrogen contents of algal cells under the high temperature and nitrogen-replete conditions were significantly higher than those under high temperature or nitrogen deficiency alone, whereas nitric oxide synthase activity, superoxide dismutase activity, catalase activity, carbon content, and caspase3 activation level exhibited opposite trends of variation. Transcriptomic and network analyses revealed ion transport and metabolic processes mainly involved in regulating these physiological activities under different temperature and nitrogen nutrient. The totality of results shows that high temperature activates stress responses, induces antioxidant capacity of apoptosis, and limits the growth rate of C. goreaui. Adequate nitrogen nutrient can improve the resilience of this Symbiodiniaceae against heat stress through repressed apoptosis, promoted ion transport, and optimized metabolism.","0022-3646","1529-8817",NA,"",2021,NA,"",NA,"","","10.1111/jpy.13156",NA,"May-21","WOS:000648396800001",33650119,NA,NA,NA,NA,"temperature;nutrients;temp x nutrient",3,"interaction",2
"Baumgarten, S; Bayer, T; Aranda, M; Liew, YJ; Carr, A; Micklem, G; Voolstra, CR",NA,NA,NA,"Integrating microRNA and mRNA expression profiling in Symbiodinium microadriaticum, a dinoflagellate symbiont of reef-building corals","BMC GENOMICS","","","","","","single organism","shotgun RNAseq",NA,"short term stress","temperature;salinity;UVR",NA,"Symbiodiniaceae","Symbiodinium",NA,"Background: Animal and plant genomes produce numerous small RNAs (smRNAs) that regulate gene expression post-transcriptionally affecting metabolism, development, and epigenetic inheritance. In order to characterize the repertoire of endogenous smRNAs and potential gene targets in dinoflagellates, we conducted smRNA and mRNA expression profiling over 9 experimental treatments of cultures from Symbiodinium microadriaticum, a photosynthetic symbiont of scleractinian corals. Results: We identified a set of 21 novel smRNAs that share stringent key features with functional microRNAs from other model organisms. smRNAs were predicted independently over all 9 treatments and their putative gene targets were identified. We found 1,720 animal-like target sites in the 3' UTRs of 12,858 mRNAs and 19 plant-like target sites in 51,917 genes. We assembled a transcriptome of 58,649 genes and determined differentially expressed genes (DEGs) between treatments. Heat stress was found to produce a much larger number of DEGs than other treatments that yielded only few DEGs. Analysis of DEGs also revealed that minicircle-encoded photosynthesis proteins seem to be common targets of transcriptional regulation. Furthermore, we identified the core RNAi protein machinery in Symbiodinium. Conclusions: Integration of smRNA and mRNA expression profiling identified a variety of processes that could be under microRNA control, e. g. protein modification, signaling, gene expression, and response to DNA damage. Given that Symbiodinium seems to have a paucity of transcription factors and differentially expressed genes, identification and characterization of its smRNA repertoire establishes the possibility of a range of gene regulatory mechanisms in dinoflagellates acting post-transcriptionally.","1471-2164","",NA,"12-Oct",2013,14,"",NA,"","704","10.1186/1471-2164-14-704",NA,"","WOS:000326177900001",24119094,NA,NA,NA,NA,"temperature;salinity;UVR",3,"none",3
